이름,주의사항,성분
일양MSM100골드,#NAME?,엠에스엠(고시형)
뷰티락 프로-17(Veauty Lac Pro-17),"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","유산균혼합분말, 유산균배양건조물, 난소화성말토덱스트린(고시형), 감귤과즙분말, 프락토올리고당, 포도당, Lactobacillus sakei, 비타민 C 분말, 비타민미네랄혼합제제, 세븐베리농축분말, Lactobacillus fermentum"
코엔자임Q10 레벨업,,"코엔자임 Q10(고시형), 셀레늄(고시형), 이산화티타늄, 에틸바닐린, 정제수, 젤라틴, 글리세린, 파프리카추출색소, 콩기름(대두유), 기타식물성유지, 밀납(황납), EPA및DHA함유유지(고시형), 필수지방산(고시형), 기타가공품, 블루베리농축분말, 토마토농축분말, 비타민 E, 레시틴"
개성상인 홍삼굿타임 K(케이)18,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼농축액, 홍삼추출액"
Lactobacillus acidophilus YT1,․질환이 있거나 의약품(면역억제제 등) 복용 시 전문가와 상담할 것 ․알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 ․어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 ․이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"분말결정포도당, Lactobacillus acidophilus YT1(HU038)(기능성원료인정제2019-22호)"
발효홍삼농축액 10,"⑴ 특수체질이거나 알레르기 체질인 경우에는 섭취 전에 반드시 원료명 및 함량을 확인하시기 바랍니다.
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처에 주의하시기 바랍니다.
⑶ 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의 하십시오.
⑷ 유통기한이 경과된 제품은 섭취하지 마십시오.","홍삼농축액(고시형), 프로바이오틱스분말(고시형)"
Premix Probiotics 01(전량수출용),"1. 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주세요.
2. 제품의 개봉이나 섭취시 상처를 입을 수 있으니 주의하세요.
3. 질환이 있거나 의약품 복용시 전문가와 상담할 것 
4. 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 
5. 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 
6. 이상사례 발생시 섭취를 중단하고 전문가와 상담할 것","Bifidobacterium longum(고시형), Lactobacillus acidophilus(고시형), Lacticaseibacillus rhamnosus(고시형), Bifidobacterium animalis ssp. lactis(고시형), Bifidobacterium bifidum(고시형)"
적송108프리미엄(전량수출용),알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,"D-알파-토코페롤(고시형), 글리세린, 젤라틴, D-소비톨액, 에틸바닐린, 소나무잎증류농축액, 합성향료(d-Limonene), 오렌지오일"
개성상인 정성100 홍삼스틱,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼농축액, 홍삼추출액"
힙스홍삼정골드12.5,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 잔탄검, 홍삼향, 효소처리스테비아, 무수구연산, 액상차, 기타가공품, 고과당옥수수시럽, 정제수, 과채가공품"
뉴트리셀비타민D1000,"질환보유자 및 약물 복용 중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오. 
알레르기 체질이신 분은 성분을 확인한 후 섭취하시기 바랍니다.","비타민K1혼합제제, 칼슘(고시형), 건조효모(비타민D), 치커리뿌리추출물분말, 과일채소혼합분말, 보스웰리아추출물분말, 옥수수전분, 목화씨앗유, 잇꽃씨앗추출물분말, 제삼인산칼슘, 폴리감마글루탐산(고시형), 혼합제제, 황산망간(고시형)"
메가파워 마그네슘 315,,"글루콘산마그네슘, L-젖산마그네슘, 비타민D3혼합제제, 비타민 B6 염산염, 비타민B1질산염, 비타민 B2, 산화마그네슘, 혼합유당, 결정셀룰로스, 히드록시프로필메틸셀룰로스, 카복시메틸셀룰로스칼슘, 덱스트린, 스테아린산마그네슘, 이산화규소, 가교카복시메틸셀룰로스나트륨, 글리세린지방산에스테르"
관절MSM100,알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.,엠에스엠(고시형)
웰러스 알티지 오메가3 1000,"1) 알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
2) 임신, 수유부나 약물을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
3) 이상증상이 생길 경우 섭취를 중단하고 전문의와 상담하십시오.
4) 어린이의 손에 닿지 않도록 주의하시기 바랍니다.","EPA및DHA함유유지(고시형), D-소르비톨액, 글리세린, 젤라틴, 에틸바닐린, 콩기름(대두유)"
눈에 좋은 루테인11,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","마리골드 꽃(고시형), d-α-토코페롤, 니코틴산아미드, 산화아연, 황산망간, 비타민 B12 혼합제제분말, 황산동, 레티닐 팔미트산염 혼합제제, 비타민 B6 염산염, 아셀렌산나트륨, 엽산, 젤라틴, 글리세린, 오징어먹물색소, 미르틸루스산앵도열매추출물분말, 베리혼합분말, 헛개나무추출물분말, 구기자추출물분말, 식물혼합추출물분말, 콩기름(대두유), 잇꽃씨앗유, 밀납, 레시틴, 결명자추출물분말, 헤마토코쿠스추출물(고시형), 과일채소혼합분말"
스마일렌 루테인 12,"(가) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 흡연자는 섭취 시 전문가와 상담할 것
(다) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","비오틴 혼합분말, 판토텐산칼슘, 산화아연, 니코틴산아미드, d-α-토코페롤, 마리골드꽃추출물(고시형), 레티닐 팔미트산염 혼합제제, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 비타민D3혼합제제, 엽산, 젤라틴, 글리세린, 오징어먹물색소, 베리혼합분말, 토마토농축분말, 결명자추출물분말, 과일채소혼합분말, 콩기름(대두유), 포도씨앗유, 밀납, 레시틴, 블루베리농축분말, 헤마토코쿠스추출물분말(고시형)"
간건강 밀크씨슬 10 플러스,"알레르기 반응이 나타나는 경우에는 섭취 중단.
설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의.
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","엽산(고시형), 비타민 B2, 비타민 B1염산염, 비타민 B6 염산염, 비타민B12혼합제제분말, 비오틴 혼합분말, 판토텐산칼슘, 산화아연(고시형), 니코틴산아미드, 밀크씨슬추출물, 포도당, 결정셀룰로스, 영지버섯자실체추출물분말, 표고버섯추출물분말, 헛개나무추출물분말, 히드록시프로필메틸셀룰로스, 스테아린산마그네슘, 이산화규소, 카복시메틸셀룰로스칼슘, 울금추출물분말, 비타민 C, 홍삼(고시형), 식물혼합추출물분말"
당신 당의 119,,"바나바잎 추출물(고시형), 결정셀룰로스, 치커리뿌리추출물분말, 가교카복시메틸셀룰로스나트륨, 난소화성말토덱스트린(고시형), 해삼추출물, 카복시메틸셀룰로스칼슘, 이산화규소, 스테아린산마그네슘, 은행잎추출물(고시형), Lactobacillus plantarum, 비타민 B1염산염, 비타민 B2, 비타민 B6 염산염"
코오롱 알티지오메가3 1100,"(가) 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
(나) 개인에 따라 피부 관련 이상반응이 발생할 수 있음
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","EPA및DHA함유유지(고시형), 비타민 E(고시형), D-소비톨액, 글리세린, 젤라틴, 정제수, 레몬향혼합제제"
엔케이119,"알레르기반응이 나타나는 경우에는 섭취 중단하십시오.
설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의하십시오.","옥타코사놀함유 유지(고시형), 산화아연, 참당귀추출분말, 프락토올리고당, 초유분말, 블랙엘더베리추출물분말, 건마늘분말, 프로폴리스추출물분말, 오레가노분말"
6년근 고려100년 홍삼정,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 물엿, 식물혼합농축액"
웰러스 비타민C1000 (전량수출용),"1) 알레르기 체질이신 분은 성분을 확인한 후, 섭취하시기 바랍니다. 
2) 영ㆍ유아, 임신ㆍ수유부나 질환보유자 또는 약물 복용중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.","비타민C혼합제제, 결정셀룰로스, 히드록시프로필메틸셀룰로스, 스테아린산마그네슘, 이산화규소, 이산화티타늄, 글리세린지방산에스테르"
광동 초임계 쏘팔메토쎈 115,"성인남성만 섭취 할 것
수술 전후, 출혈성 질환이 있거나 의약품(항응고제 등) 복용 시 전문가와 상담할 것
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있으니 식사 후 섭취할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다. 
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","쏘팔메토 열매추출물(고시형), D-알파-토코페롤(고시형), 산화아연, 황산망간, 오징어먹물색소, 글리세린, 젤라틴, 포도씨앗유, 레시틴, 마카추출분말, 헛개나무열매추출분말, 흑마늘분말, 홍삼농축액분말, 과라나추출물분말, 민들레추출물분말, 베리혼합분말, 과일채소혼합분말, 기타가공품, 옥타코사놀(고시형), 비오틴(고시형), 밀납"
마이코드 루테인 베타카로틴A 12 컴플렉스,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","황산동, 베타카로틴혼합제제, d-α-토코페롤, 황산망간, 산화아연, 니코틴산아미드, 마리골드꽃추출물(고시형), 비타민B12혼합제제분말, 레티닐 팔미트산염 혼합제제, 비타민 B6 염산염, 비타민 B2, 엽산, 식용색소황색제5호, 식용색소적색제2호, 식용색소적색제3호, 식용색소적색제40호, 젤라틴, 글리세린, D-소비톨액, 이산화티타늄, 에틸바닐린, 식용색소청색제1호, 식용색소황색제4호, 과일채소혼합분말, 베리혼합분말, 미르틸루스산앵도열매추출물분말, 헤마토코쿠스추출물(고시형), 건조효모, 블루베리농축분말, 결명자추출물분말, 레시틴, 밀납, 콩기름(대두유)"
퀸즈글루타민+15(전량수출용),,"비타민C(고시형), 결정셀룰로스, L-글루타민, L-시스틴, 글리신, 맥주효모추출물, 건조효모추출분말, 유청칼슘, 생선콜라겐펩타이드, 발효미강, 비타민 B1염산염, 비타민 B2, 포도당, 비타민 B6 염산염, 스테아린산마그네슘, 히알루론산, 히드록시프로필메틸셀룰로스"
홍아순수 1 단계 고몽,"⑴ 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의하십시오.
⑵ 알레르기 체질이신 분은 섭취 전에 원료명을 반드시 확인하시기 바랍니다.  
⑶ 제품 개발 또는 섭취 시 포장재에 의한 상처에 주의하시고, 유통기한이 경과된 제품은 섭취하지 마십시오.
⑷ 홍삼분말이 들어 있으니 제품 개봉 전에 잘 흔들어 섭취하십시오. 
⑸ 불이나 전자레인지에 직접 데우지 마십시오.","홍삼, 6년근(고시형), 과채가공품, 아세로라추출분말, 아로니아농축액, 기타가공품, 녹용농축액, 아사이팜열매주스, 파인애플주스농축물, 배농축액, 감추출농축액, 기타가공품, 초유분말"
바른 100억 유산균,(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"유산균혼합분말, 정제수, 히드록시프로필메틸셀룰로스, 이산화티타늄, 카라기난, 소르비탄지방산에스테르, 염화마그네슘, 글리세린, 염화칼륨, 기타 식용유지가공품, L-프롤린, 유산균혼합분말, 프락토올리고당, 옥수수전분"
6년근 활력 홍삼정 스틱 100,"⑴ 특수체질이거나 알레르기 체질인 경우에는 섭취 전에 반드시 원료명 및 함량을 확인하시기 바랍니다.
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처에 주의하시기 바랍니다.
⑶ 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의 하십시오.
⑷ 유통기한이 경과된 제품은 섭취하지 마십시오.","홍삼, 6년근(고시형), 물엿, 덱스트린, 대추농축액, 사양벌꿀, 기타 농산가공품, 정제수"
이엔케이 면역 17 유산균,(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"프로바이오틱스(고시형), 산화아연, 프락토올리고당, 덱스트린, 포도당, 백포도농축과즙, 청포도향, 이산화규소, 비타민 C, 스테아린산마그네슘"
이너미인 비타민C 1000,,"비타민 C, 비타민 B2, 비타민 B6 염산염, 자일리톨, 만니톨, 레몬농축분말, 분말결정포도당, 설탕, 히드록시프로필메틸셀룰로스, 레몬향혼합제제, 오렌지맛분말, 효소처리스테비아, 수크랄로스, 이산화규소"
챙기삼 더블랙 5.1,"⑴ 특수체질이거나 알레르기 체질인 경우에는 섭취 전에 반드시 원료명 및 함량을 확인하시기 바랍니다.
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처에 주의하시기 바랍니다.
⑶ 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의 하십시오.
⑷ 카페인 함유음료(커피, 홍차, 녹차 등)와의 병용 섭취에 주의
⑸ 임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의
⑹ 유통기한이 경과된 제품은 섭취하지 마십시오.","홍삼, 6년근(고시형), L-테아닌(고시형), 기타 농산가공품, 물엿, 프락토올리고당, 기타가공품, 사양벌꿀, 기타가공품, 비타민 B1염산염, 비타민 B6 염산염, 니코틴산아미드, 고형차"
이뮨플러스17,"고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","홍삼농축액분말, 아셀렌산나트륨(고시형), 비타민B12혼합제제분말, 비오틴 혼합분말, 분말비타민D3혼합제제, 황산망간(고시형), 산화아연(고시형), 건조효모, 니코틴산아미드(고시형), DL-알파-토코페릴초산염 혼합제제, 산화마그네슘, 비타민C(고시형), 비타민 B6 염산염, 비타민B1염산염(고시형), 비타민B2(고시형), 황산동(고시형), 엽산(고시형), 히드록시프로필메틸셀룰로스, 이노시톨, 카복시메틸셀룰로스칼슘, 스테아린산마그네슘, 결정셀룰로스, 유당, 헛개나무추출물분말, 과일채소혼합분말, 아미노산혼합제제"
비타민C-1000(전량수출용),"질환보유자 및 약물 복용 중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오. 
알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오.","비타민C혼합제제, L-아스코브산나트륨, 히드록시프로필메틸셀룰로스, 스테아린산마그네슘, 결정셀룰로스, 이산화규소, 이산화티타늄, 치자황색소, 글리세린지방산에스테르"
프로바이오틱스 17,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","프로바이오틱스(고시형), 식물성크림, 포도당, 치커리뿌리추출물분말, 프락토올리고당, D-소비톨, 기타가공품, 자일리톨, 요구르트향분말, 당류가공품, 이산화규소, 유당, 기타가공품, 산화아연, 생선콜라겐, 분말비타민D3혼합제제, 비타민 B6 염산염, 비타민 B2, 비타민 B1염산염"
홍삼농축액10,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",홍삼농축액(고시형)
하이퍼원(Hyper-1),"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 효소처리스테비아, 식물혼합분말, 사양벌꿀, 밀리타리스동충하초농축액"
가르시니아 1000,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 간·신장·심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담할 것
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","가르시니아캄보지아 추출물(고시형), 비타민 B1염산염, L-카르니틴, 5종혼합유산균, 아미노산혼합제제, 알로에아보레센스(고시형), 녹차추출물분말(고시형), 기타 농산가공품, 흰강낭콩추출물, 기타가공품, 생선콜라겐, 스테아린산마그네슘, 이산화규소, 히드록시프로필메틸셀룰로스, 카복시메틸셀룰로스칼슘, 결정셀룰로스, 비타민 B6 염산염, 판토텐산칼슘, 니코틴산아미드"
비타민C-1000,"질환보유자 및 약물 복용 중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오. 
알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오.","비타민C혼합제제, L-아스코브산나트륨, 히드록시프로필메틸셀룰로스, 스테아린산마그네슘, 결정셀룰로스, 이산화규소, 이산화티타늄, 치자황색소, 글리세린지방산에스테르"
촉촉한 루테인13,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","비타민 B2, 아셀렌산나트륨, 마리골드꽃추출물(고시형), 비타민 C, d-α-토코페롤, 산화아연, 니코틴산아미드, 황산망간, 비타민B12혼합제제분말, 황산동, 레티닐 팔미트산염 혼합제제, 비타민 B6 염산염, 엽산, 젤라틴, 글리세린, D-소르비톨액, 이산화티타늄, 에틸바닐린, 식용색소적색제40호, 식용색소적색제3호, 식용색소적색제2호, 식용색소황색제5호, 식용색소황색제4호, 식용색소청색제1호, 헤마토코쿠스추출물(고시형), 블루베리농축분말, 콩기름(대두유), 과일채소혼합분말, 베리혼합분말, 토마토농축분말, 결명자추출물분말, 포도씨앗유, 밀납, 레시틴, 정제어유"
셀시스 락토바이오 01,①질환이 있거나 의약품 복용 시 전문가와 상담할 것 ②알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 ③어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 ④이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"유산균혼합분말, Lactiplantibacillus plantarum(고시형), Bifidobacterium animalis ssp. lactis(고시형), 히드록시프로필메틸셀룰로스, 이산화티타늄, 정제수, 레시틴, 과채가공품, 기타 수산물가공품, 건조효모, L-프롤린, 덱스트린, 과채가공품, 프락토올리고당, 갈락토올리고당, 차전자피식이섬유(고시형)"
순백 MSM관절100,알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,엠에스엠(고시형)
선택하라 rTG 오메가3 1000,"(가) 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
(나) 개인에 따라 피부 관련 이상반응이 발생할 수 있음
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(라) 알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.","정제어유, 레티닐 팔미트산염 혼합제제, 젤라틴, 글리세린, D-소비톨액, 에틸바닐린"
장내희망 프로바이오틱스 17종,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","프로바이오틱스(고시형), 식물성크림혼합분말, 포도당, 프락토올리고당, 포도농축액분말, 쌀추출물분말, 포도향분말, Bacillus coagulans, 타우린, 석류농축분말, 세븐베리농축분말, 키위추출분말, 제삼인산칼슘"
겟잇뉴트리 관절 연골에 좋은 100% MSM 2000,,엠에스엠(고시형)
플래티넘 비오틴 10000,"이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","비오틴(고시형), 카복시메틸셀룰로스칼슘, 이산화규소, 오징어먹물색소, 히드록시프로필메틸셀룰로스, 히알루론산, 생선콜라겐분말, 아미노산혼합제제, 스테아린산마그네슘, 녹차추출물분말(고시형), 글리세린지방산에스테르, 결정셀룰로스, 포도당, 유당, 건조효모, 곡류가공품"
홍아순수 1단계,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 아로니아동결건조분말, 과.채가공품, 액상차, 감추출농축액, 당근농축액, 사과농축액, 배농축액, 호박농축액, 녹용추출액, 해조칼슘, 아세로라추출분말, 초유분말"
해피바바 HAPPYBABA 멀티비타민&미네랄21종,"특히 6세 이하는 과량섭취하지 않도록 주의
당뇨병이 있는 경우 섭취 전 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
항응고제 등 복용 시 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.
고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것.","산화아연, 황산망간, 분말비타민B12혼합제제, 분말비타민A혼합제제, 비오틴 혼합분말, 판토텐산칼슘, 아셀렌산나트륨, 비타민D3혼합제제, 황산동, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 비타민K1혼합제제, 엽산, 요오드칼륨, 건조효모(크롬함유), 건조효모(몰디브덴함유), 니코틴산아미드, 비타민 C, DL-알파-토코페릴초산염 혼합제제, 푸마르산제일철, 결정셀룰로스, 유함유가공품, 카복시메틸셀룰로스칼슘, 이산화규소, 해조칼슘, 스테아린산마그네슘, 과일채소혼합분말, 구연산삼나트륨, 프로폴리스추출물(고시형), 산수유추출분말, 과채가공품"
플래티넘 쏘팔메토 옥타코사놀 11,"(가) 성인남성만 섭취할 것
(나) 수술 전후, 출혈성 질환이 있거나 항응고제 등 복용 시 전문가와 상담할 것
(다) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(라) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있으니 식사 후 섭취할 것
(마) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","쏘팔메토 열매추출물(고시형), 니코틴산아미드, 옥타코사놀(고시형), 산화아연, 판토텐산칼슘, 아셀렌산나트륨, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 비타민D3혼합제제, 엽산, 식용색소청색제1호, 식용색소황색제4호, 식용색소황색제5호, 식용색소적색제2호, 식용색소적색제3호, 식용색소적색제40호, 에틸바닐린, 이산화티타늄, D-소비톨액, 글리세린, 젤라틴, 포도씨앗유, 레시틴, 마카추출분말, 흑마늘추출물분말, 복분자추출물분말, 홍삼농축액분말, 과라나추출물분말"
1879 폴리파워 에너지,"*특이체질, 알러지 체질의 경우 성분을 확인하고 섭취하여 주시기 바랍니다.
*의약품(당뇨치료제, 혈액항응고제) 복용시 섭취에 주의하시기 바랍니다.
*개봉 후 냉장보관하거나 빨리 드시기 바랍니다.
*간혹 침전물이 생길 수 있으나 원료성분이오니 안심하시고 잘 흔들어 드십시오.    
*제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.","홍삼(고시형), 프락토올리고당, 용설란시럽, 타우린, 시클로덱스트린시럽, 치커리식이섬유, 오렌지농축액, 레몬농축액, Red grape발효농축액, 과라나추출물분말, 비타민 C, 혼합제제비타민B, 아미노산혼합제제, 잔탄검, 오렌지향, L-카르니틴, 효소처리스테비아, 정제수"
겟잇뉴트리 리얼 비오틴 10000,"이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","비오틴, 히알루론산, 생선콜라겐분말, 아미노산혼합제제, 히드록시프로필메틸셀룰로스, 스테아린산마그네슘, 녹차추출물분말(고시형), 카복시메틸셀룰로스칼슘, 이산화규소, 결정셀룰로스, 포도당, 유당, 건조효모, 곡류가공품"
맥스 밀크씨슬 10,"알레르기 반응이 나타나는 경우에는 섭취 중단
설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","밀크씨슬추출물, 니코틴산아미드, 산화아연, 판토텐산칼슘, 아셀렌산나트륨, 비타민B12혼합제제분말, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 엽산, 과라나추출물분말, 과일채소혼합분말, 식물혼합추출물분말, 포도당, 결정셀룰로스, 카복시메틸셀룰로스칼슘, 스테아린산마그네슘, 이산화규소, 히드록시프로필메틸셀룰로스, 타우린, 헛개나무추출물분말, 표고버섯추출물분말, 울금추출물분말, 민들레추출물분말, 흑마늘추출물분말"
보나수아 아우라 오리지널 10000,"게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함)
특정성분에 알레르기 체질이신분은 섭취전 제품의 원료성분을 확인 후 섭취 하십시오
질병치료나 약물 투여중인 분들은 섭취전 전문가와 상담하십시오
간혹 침전물이 생길 수 있으나 원료성분이오니 안심하시고 잘 흔들어 드십시오
유리병 그대로 전자레인지에 가열하지 마십시오","NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)(고시형), 생선콜라겐펩타이드, 석류농축액, D-말티톨, 비타민 C, 아로니아농축액, 유자농축액, 자일리톨, 식물혼합추출물, 천연향료, 무수구연산, 수크랄로스, 비타민 B1염산염, 비타민 B2, 히알루론산혼합제제, 정제수"
리얼메디 비오틴 10000,"이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","비오틴, 히드록시프로필메틸셀룰로스, 오징어먹물색소, 글리세린지방산에스테르, 건조효모, 곡류가공품, 이산화규소, 카복시메틸셀룰로스칼슘, 스테아린산마그네슘, 기타가공품, 녹차추출물(고시형), 생선콜라겐분말, 히알루론산, 과일채소혼합분말, 베리혼합분말, 유당분말, 포도당, 결정셀룰로스"
속편한중성비타민C1000,"고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","L-아스코브산칼슘, 산화아연(고시형), 비타민 D3 혼합분말, 해조칼슘, 카나우바왁스"
