output,input,instruction
"Dabigatran is used to treat deep vein thrombosis (DVT; a blood clot, usually in the leg) and pulmonary embolism (PE; a blood clot in the lung) in adults and children 3 months of age and older who have been treated with an injectable anticoagulant ('blood thinner'). It is also used to reduce the risk of a DVT and PE from happening again after initial treatment is completed in adults and children 3 months of age and older. Dabigatran is used to help prevent DVT and PE in adults who have had hip replacement surgery. Dabigatran is also used to help prevent strokes or serious blood clots in adults who have atrial fibrillation (a condition in which the heart beats irregularly, increasing the chance of clots forming in the body, and possibly causing strokes) without heart valve disease. Dabigatran is in a class of anticoagulant medications called direct thrombin inhibitors. It works by preventing blood clots from forming in the body.",Dabigatran,Why is Dabigatran medication prescribed?
"Dabigatran comes as a capsule and pellets to take by mouth. When dabigatran is used to treat or prevent a DVT or PE or to prevent strokes or serious blood clots in people who have atrial fibrillation, it is usually taken twice a day. When dabigatran is used to prevent a DVT or PE after hip replacement surgery, it is usually taken 1 to 4 hours after surgery, and then once a day for another 28 to 35 days. Dabigatran capsules may be taken with or without food. Take dabigatran capsules with food if the medication upsets your stomach. Give dabigatran pellets before meals to make sure your child receives the full dose. Take dabigatran at around the same times every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take dabigatran exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Swallow the capsules whole with a whole glass of water; do not split, chew, or crush them. Do not open the capsules and sprinkle the contents on food or into drinks.Dabigatran pellets should be taken with soft foods or apple juice. Do not mix the pellets with milk or foods that contain milk products. To prepare a dose of dabigatran pellets with soft food, sprinkle the entire packet of pellets on soft food such as baby rice cereal (prepared with water), mashed carrots, mashed banana, or applesauce. Give the entire mixture within 30 minutes of sprinkling the pellets on the soft food. Alternatively you can give dabigatran pellets to your child along with apple juice. Spoon the pellets into your child's mouth and offer them as much apple juice as necessary to swallow the pellets. Or you can mix the pellets in small amount of apple juice and have your child drink the entire mixture. If pellets stick to the cup, add a small amount of apple juice and give it to your child. Repeat as necessary until all of the pellets are gone. Do not store the mixture of dabigatran pellets and soft food or apple juice; use within 30 minutes after mixing.If your child does not take the entire dose of dabigatran pellets, do not give another dose at this time. Continue with the next dose at the scheduled time.Dabigatran will help prevent strokes and blood clots only as long as you continue to take it. Continue to take dabigatran even if you feel well. Make sure to refill your prescription before you run out of medication so that you will not miss doses of dabigatran. Do not stop taking dabigatran without talking to your doctor. If you suddenly stop taking dabigatran, the risk that you will have clot or a stroke may increase.",Dabigatran,How should Dabigatran medicine be used?
"Before taking dabigatran,tell your doctor and pharmacist if you are allergic to dabigatran, any other medications, or any of the ingredients in dabigatran capsules or pellets. Ask your pharmacist or check the Medication Guide for a list of the ingredients.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: dronedarone (Multaq), ketoconazole (Nizoral), and rifampin (Rifadin, Rimactane, in Rifamate, in Rifater). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have had a valve in your heart replaced or if you have recently noticed any unusual bruising or bleeding. Your doctor probably will tell you not to take dabigatran.tell your doctor if you have or have ever had a bleeding problem, bleeding or an ulcer in your stomach or intestine; or kidney disease.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while taking dabigatran, call your doctor. Taking dabigatran may increase the risk that you will experience severe bleeding during labor and delivery.talk to your doctor about the risks and benefits of taking dabigatran if you are 75 years of age or older.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking dabigatran.",Dabigatran,What special precautions should I follow for Dabigatran ?
Dabrafenib is used alone or in combination with trametinib (Mekinist) to treat certain types of melanoma (a type of skin cancer). It is also used in combination with trametinib to prevent the return of a certain type of melanoma after surgery. Dabrafenib is also used in combination with trametinib to treat certain types of non-small cell lung cancer (NSCLC) and thyroid cancer. It is also used in combination with trametinib to treat certain types of solid tumors in adults and children 6 years of age or older and to treat a certain type of glioma (a type of cancerous brain tumor) in children 1 year of age or older. Dabrafenib is in a class of medications called kinase inhibitors. It works by blocking the action of an abnormal protein that signals cancer cells to multiply. This helps stop the spread of cancer cells.,Dabrafenib,Why is Dabrafenib medication prescribed?
"Dabrafenib comes as a capsule to take by mouth and as a tablet to suspend in water and take by mouth. It is usually taken twice a day on an empty stomach, 1 hour before or 2 hours after a meal. Take dabrafenib about 12 hours apart at around the same times every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take dabrafenib exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor. Do not stop taking dabrafenib without talking to your doctor.Swallow the capsules whole; do not open, break, or crush them. Tell your doctor if you cannot swallow the capsules whole.If you are taking the tablets for oral suspension, you will need to mix them with water before use. Do not swallow these tablets whole, and do not chew or crush them. If you are taking 1 to 4 tablet(s), place 1 teaspoonful (5 mL) of cool drinking water in a dosing cup. If you are taking 5 to 15 tablets, place 2 teaspoons (10 mL) of water in a dosing cup. Place the prescribed number of tablets into the water in the cup and stir for 3 minutes or until the mixture is completely dissolved; the mixture will appear cloudy. Drink the mixture right after mixing it or within 30 minutes. Add 1 teaspoonful (5 mL) of water to the dosing cup, stir, and drink the liquid to rinse out any particles that are still in the cup; repeat rinsing dosing with another teaspoonful of water if you are taking 5 to 15 tablets. Dispose of the mixture if it is not used after 30 minutes.If you vomit after you take dabrafenib, do not take another dose. Continue your regular dosing schedule.Your doctor may adjust your dose or temporarily or permanently stop your treatment depending on your response to treatment and any side effects that you experience. Talk to your doctor about how you are feeling during your treatment.Your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with dabrafenib and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (https://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide.",Dabrafenib,How should Dabrafenib medicine be used?
"Before taking dabrafenib,tell your doctor and pharmacist if you are allergic to dabrafenib, any other medications, or any of the ingredients in dabrafenib capsules or tablets. Ask your pharmacist or check the Medication Guide for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have or have ever had diabetes; glucose-6-phosphate dehydrogenase (G6PD) deficiency (a genetic condition); bleeding problems; eye problems; heart failure or other heart problems; liver or kidney disease; or any other medical condition.tell your doctor if you are pregnant or plan to become pregnant, or if you plan to father a child. If you are female, you will need to have a pregnancy test before you start treatment, and you should use effective birth control to prevent pregnancy during your treatment and for 2 weeks after your final dose. If you are a male and your partner can become pregnant, you should use a condom while taking this medication, and for 2 weeks after your treatment, even if you have had a vasectomy (surgery to prevent sperm from leaving your body and causing pregnancy). You should know that this medication may decrease fertility in men and women; however, you should not assume that you cannot get pregnant or that you cannot get someone else pregnant. If you or your partner becomes pregnant while taking dabrafenib, call your doctor. Dabrafenib may harm the fetus.you should know that dabrafenib may decrease the effectiveness of hormonal contraceptives (birth control pills, patches, rings, implants, and injections). You should use another method of birth control to prevent pregnancy in yourself or your partner during your treatment with dabrafenib and for 2 weeks after your final dose. Talk to your doctor about birth control methods that will work for you.tell your doctor if you are breastfeeding or plan to breastfeed. You should not breastfeed while taking dabrafenib and for 2 weeks after your final dose.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking dabrafenib.",Dabrafenib,What special precautions should I follow for Dabrafenib ?
Dacarbazine is used to treat melanoma (a type of skin cancer) that has spread to other parts of your body. Dacarbazine is also used in combination with other medications to treat Hodgkin's lymphoma (Hodgkin's disease; a type of cancer that begins in a type of white blood cells that normally fights infection). Dacarbazine is in a class of medications known as purine analogs. It works by slowing or stopping the growth of cancer cells in your body.,Dacarbazine,Why is Dacarbazine medication prescribed?
"Dacarbazine injection comes as a powder to be mixed with liquid to be injected intravenously (into a vein) over 1 minute or infused intravenously over 15 to 30 minutes by a doctor or nurse in a medical facility. When dacarbazine is used to treat melanoma, it may be injected once a day for 10 days in a row every 4 weeks or it may be injected once a day for 5 days in a row every 3 weeks. When dacarbazine is used to treat Hodgkin's lymphoma is may be injected once a day for 5 days in a row every 4 weeks or it may be injected once every 15 days.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Dacarbazine,How should Dacarbazine medicine be used?
"Before receiving dacarbazine,tell your doctor and pharmacist if you are allergic to dacarbazine, any other medications, or any of the ingredients in dacarbazine injection. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take.tell your doctor if you are breast-feeding.plan to avoid unnecessary or prolonged exposure to sunlight and to wear protective clothing, sunglasses, and sunscreen. Dacarbazine may make your skin sensitive to sunlight.",Dacarbazine,What special precautions should I follow for Dacarbazine ?
Daclatasvir is used along with another medication (sofosbuvir [Solvadi]) to treat a certain type of chronic hepatitis C (an ongoing viral infection that damages the liver). Daclatasvir is in a class of antiviral medications called hepatitis C virus (HCV) NS5A inhibitors. It works by stopping the virus that causes hepatitis C from spreading inside the body. It is not known if daclatasvir prevents the spread of hepatitis C to other people.,Daclatasvir,Why is Daclatasvir medication prescribed?
"Daclatasvir comes as a tablet to take by mouth. It is usually taken with or without food once a day. Daclatasvir must be taken in combination with sofosbuvir, usually for 12 weeks. Take daclatasvir at around the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take daclatasvir exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Continue to take daclatasvir even if you feel well. Do not stop taking daclatasvir or sofosbuvir without talking to your doctor.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Daclatasvir,How should Daclatasvir medicine be used?
"Before taking daclatasvir,tell your doctor and pharmacist if you are allergic to daclatasvir, any other medications, or any of the ingredients in daclatasvir tablets. Ask your pharmacist for a list of the ingredients.tell your doctor if you are taking carbamazepine (Carbatrol, Epitol, Equetro, Tegretol, Teril), phenytoin (Dilantin, Phenytek), rifampin (Rifadin, Rimactane, in Rifamate, Rifater), or St. John's wort. Your doctor will probably tell you not to take daclatasvir if you are taking one or more of these medications.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, you are taking or plan to take. Be sure to mention any of the following: amiodarone (Nexterone, Pacerone); certain antibiotics such as clarithromycin (Biaxin, in Prevpac), nafcillin, rifapentine (Priftin), and telithromycin (Ketek); certain antifungals such as itraconazole (Onmel, Sporanox), ketoconazole, posaconazole (Noxafil), and voriconazole (Vfend); bosentan (Tracleer); buprenorphine and naloxone (Suboxone, Zubsolv); certain cholesterol-lowering medications (statins) such as atorvastatin (Lipitor, in Caduet), fluvastatin (Lescol), pitavastatin (Livalo), pravastatin (Pravachol), rosuvastatin (Crestor), and simvastatin (Flolipid, Zocor, in Vytorin); medication containing cobicistat (Stribild); dabigatran (Pradaxa); dexamethasone; digoxin (Lanoxin); efavirenz (Sustiva, in Atripla), etravirine (Intelence); certain HIV protease inhibitors such as atazanavir (Reyataz, in Evotaz), indinavir (Crixivan), nelfinavir (Viracept), ritonavir (Norvir, in Kaletra, Technivie, Viekira Pak), and saquinavir (Invirase); modafinil (Provigil); nefazodone; nevirapine (Viramune); and warfarin (Coumadin, Jantoven). Your doctor may need to change the doses of your medications or monitor you carefully for side effects. Many other medications may also interact with daclatasvir, so be sure to tell your doctor about all the medications you are taking, even those that do not appear on this list.tell your doctor if you have had a liver transplant, any type of liver disease other than hepatitis C, or heart disease.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while taking daclatasvir, call your doctor.",Daclatasvir,What special precautions should I follow for Daclatasvir ?
"Prescription aspirin is used to relieve the symptoms of rheumatoid arthritis (arthritis caused by swelling of the lining of the joints), osteoarthritis (arthritis caused by breakdown of the lining of the joints), systemic lupus erythematosus (condition in which the immune system attacks the joints and organs and causes pain and swelling) and certain other rheumatologic conditions (conditions in which the immune system attacks parts of the body). Nonprescription aspirin is used to reduce fever and to relieve mild to moderate pain from headaches, menstrual periods, arthritis, toothaches, and muscle aches. Nonprescription aspirin is also used to prevent heart attacks in people who have had a heart attack in the past or who have angina (chest pain that occurs when the heart does not get enough oxygen). Nonprescription aspirin is also used to reduce the risk of death in people who are experiencing or who have recently experienced a heart attack. Nonprescription aspirin is also used to prevent ischemic strokes (strokes that occur when a blood clot blocks the flow of blood to the brain) or mini-strokes (strokes that occur when the flow of blood to the brain is blocked for a short time) in people who have had this type of stroke or mini-stroke in the past. Aspirin will not prevent hemorrhagic strokes (strokes caused by bleeding in the brain). Aspirin is in a group of medications called salicylates. It works by stopping the production of certain natural substances that cause fever, pain, swelling, and blood clots.Aspirin is also available in combination with other medications such as antacids, pain relievers, and cough and cold medications. This monograph only includes information about the use of aspirin alone. If you are taking a combination product, read the information on the package or prescription label or ask your doctor or pharmacist for more information.",Aspirin,Why is Aspirin medication prescribed?
"Prescription aspirin comes as an extended-release (long-acting) tablet. Nonprescription aspirin comes as a regular tablet, a delayed-release (releases the medication in the intestine to prevent damage to the stomach) tablet, a chewable tablet, powder, and a gum to take by mouth. Prescription aspirin is usually taken two or more times a day. Nonprescription aspirin is usually taken once a day to lower the risk of a heart attack or stroke. Nonprescription aspirin is usually taken every 4 to 6 hours as needed to treat fever or pain. Follow the directions on the package or prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take aspirin exactly as directed. Do not take more or less of it or take it more often than directed by the package label or prescribed by your doctor.Swallow the extended-release tablets whole with a full glass of water. Do not break, crush, or chew them.Swallow the delayed-release tablets with a full glass of water.Chewable aspirin tablets may be chewed, crushed, or swallowed whole. Drink a full glass of water, immediately after taking these tablets.Ask a doctor before you give aspirin to your child or teenager. Aspirin may cause Reye's syndrome (a serious condition in which fat builds up on the brain, liver, and other body organs) in children and teenagers, especially if they have a virus such as chicken pox or the flu.If you have had oral surgery or surgery to remove your tonsils in the last 7 days, talk to your doctor about which types of aspirin are safe for you.Delayed-release tablets begin to work some time after they are taken. Do not take delayed-release tablets for fever or pain that must be relieved quickly.Stop taking aspirin and call your doctor if your fever lasts longer than 3 days, if your pain lasts longer than 10 days, or if the part of your body that was painful becomes red or swollen. You may have a condition that must be treated by a doctor.",Aspirin,How should Aspirin medicine be used?
"Before taking aspirin,tell your doctor and pharmacist if you are allergic to aspirin, other medications for pain or fever, tartrazine dye, or any other medications.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: acetazolamide (Diamox); angiotensin-converting enzyme (ACE) inhibitors such as benazepril (Lotensin), captopril (Capoten), enalapril (Vasotec), fosinopril (Monopril), lisinopril (Prinivil, Zestril), moexipril (Univasc), perindopril, (Aceon), quinapril (Accupril), ramipril (Altace), and trandolapril (Mavik); anticoagulants ('blood thinners') such as warfarin (Coumadin) and heparin; beta blockers such as atenolol (Tenormin), labetalol (Normodyne), metoprolol (Lopressor, Toprol XL), nadolol (Corgard), and propranolol (Inderal); diuretics ('water pills'); medications for diabetes or arthritis; medications for gout such as probenecid and sulfinpyrazone (Anturane); methotrexate (Trexall); other nonsteroidal anti-inflammatory drugs (NSAIDs) such as naproxen (Aleve, Naprosyn); phenytoin (Dilantin); and valproic acid (Depakene, Depakote). Your doctor may need to change the doses of your medications or monitor you more carefully for side effects.if you are taking aspirin on a regular basis to prevent heart attack or stroke, do not take ibuprofen (Advil, Motrin) to treat pain or fever without talking to your doctor. Your doctor will probably tell you to allow some time to pass between taking your daily dose of aspirin and taking a dose of ibuprofen.tell your doctor if you have or have ever had asthma, frequent stuffed or runny nose, or nasal polyps (growths on the linings of the nose). If you have these conditions, there is a risk that you will have an allergic reaction to aspirin. Your doctor may tell you that you should not take aspirin.tell your doctor if you often have heartburn, upset stomach, or stomach pain and if you have or have ever had ulcers, anemia, bleeding problems such as hemophilia, or kidney or liver disease.tell your doctor if you are pregnant, you plan to become pregnant, or if you are breast-feeding. Low dose aspirin 81-mg may be taken during pregnancy, but aspirin doses greater that 81 mg may harm the fetus and cause problems with delivery if it is taken around 20 weeks or later during pregnancy. Do not take aspirin doses greater that 81 mg (e.g., 325 mg) around or after 20 weeks of pregnancy, unless told to do so by your doctor. If you become pregnant while taking aspirin or aspirin containing medications, call your doctor.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking aspirin.if you drink three or more alcoholic drinks every day, ask your doctor if you should take aspirin or other medications for pain and fever.",Aspirin,What special precautions should I follow for Aspirin ?
"Prescription naproxen is used to relieve pain, tenderness, swelling, and stiffness caused by osteoarthritis (arthritis caused by a breakdown of the lining of the joints), rheumatoid arthritis (arthritis caused by swelling of the lining of the joints), juvenile arthritis (a form of joint disease in children), and ankylosing spondylitis (arthritis that mainly affects the spine). Prescription naproxen tablets, extended-release tablets, and suspension are also used to relieve shoulder pain caused by bursitis (inflammation of a fluid-filled sac in the shoulder joint), tendinitis (inflammation of the tissue that connects muscle to bone), gouty arthritis (attacks of joint pain caused by a build-up of certain substances in the joints), and pain from other causes, including menstrual pain (pain that happens before or during a menstrual period). Nonprescription naproxen is used to reduce fever and to relieve mild pain from headaches, muscle aches, arthritis, menstrual periods, the common cold, toothaches, and backaches. Naproxen is in a class of medications called NSAIDs. It works by stopping the body's production of a substance that causes pain, fever, and inflammation.",Naproxen,Why is Naproxen medication prescribed?
"Prescription naproxen comes as a regular tablet, a delayed-release (a tablet that releases the medication in the intestine to prevent damage to the stomach) tablet, an extended-release (long-acting) tablet, and a suspension (liquid) to take by mouth. The extended-release tablets are usually taken once a day. The tablets, delayed-release tablets, and suspension are usually taken twice a day for arthritis. The tablets and suspension are usually taken every 8 hours for gout, and every 6 to 8 hours as needed for pain. If you are taking naproxen on a regular basis, you should take it at the same time(s) every day.Nonprescription naproxen comes as tablet, a capsule, and a gel capsule to take by mouth. It is usually taken with a full glass of water every 8 to 12 hours as needed. Nonprescription naproxen may be taken with food or milk to prevent nausea.Follow the directions on the package or prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take naproxen exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor or written on the package.If you are taking the suspension, gently shake the suspension well before each use to mix the medication evenly. Use an oral syringe or measuring cup provided by your pharmacist to measure the correct amount of liquid needed for your dose.Swallow the delayed-release tablets and extended release tablets whole; do not split, chew, or crush them.If you are taking naproxen to relieve the symptoms of arthritis, your symptoms may begin to improve within 1 week. It may take 2 weeks or longer for you to feel the full benefit of the medication.Stop taking nonprescription naproxen and call your doctor if your symptoms get worse, you develop new or unexpected symptoms, the part of your body that was painful becomes red or swollen, your pain lasts for more than 10 days, or your fever lasts for more than 3 days.",Naproxen,How should Naproxen medicine be used?
"Before taking naproxen,tell your doctor and pharmacist if you are allergic to naproxen, aspirin or other NSAIDs such as ibuprofen (Advil, Motrin) and ketoprofen, any medications for pain or fever, other medications, or any of the ingredients in naproxen products. Ask your doctor or pharmacist for a list of the ingredients.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention the medications listed in the IMPORTANT WARNING section and any of the following: angiotensin-converting enzyme (ACE) inhibitors such as benazepril (Lotensin, in Lotrel), captopril, enalapril (Vasotec, in Vaseretic), fosinopril, lisinopril (Zestril, in Zestoretic), moexipril (Univasc), perindopril (Aceon, in Prestalia), quinapril (Accupril, in Accuretic, in Quinaretic), ramipril (Altace), and trandolapril (Mavik, in Tarka); angiotensin receptor blockers (ARBs) such as azilsartan (Edarbi, in Edarbyclor), candesartan (Atacand, in Atacand HCT), eprosartan (Teveten), irbesartan (Avapro, in Avalide), losartan (Cozaar, in Hyzaar), olmesartan (Benicar, in Azor, in Benicar HCT, in Tribenzor), telmisartan (Micardis, in Micardis HCT, in Twynsta), and valsartan (in Exforge HCT); beta blockers such as atenolol (Tenormin, in Tenoretic), labetalol (Trandate), metoprolol (Lopressor, Toprol XL, in Dutoprol), nadolol (Corgard, in Corzide), and propranolol (Hemangeol, Inderal, InnoPran); cholestyramine (Prevalite); cyclosporine (Gengraf, Neoral, Sandimimune); digoxin (Lanoxin); diuretics ('water pills'); lithium (Lithobid), medications for diabetes; methotrexate (Otrexup, Rasuvo, Trexall); pemetrexed (Alimta, Pemfexy); phenytoin (Dilantin, Phenytek); probenecid (Probalan; in Col-Probenecid); and sulfa medications such as sulfamethoxazole (in Bactrim, in Septra). Also tell your doctor if you are taking antacids or sucralfate (Carafate). Your doctor may need to change the doses of your medication or monitor you more carefully for side effects.do not take nonprescription naproxen with any other medication for pain unless your doctor tells you that you should.tell your doctor if you have been told to follow a low sodium diet and if you have or have ever had any of the conditions mentioned in the IMPORTANT WARNING section or asthma, especially if you also have frequent stuffed or runny nose or nasal polyps (swelling of the inside of the nose); heart failure; swelling of the hands, arms, feet, ankles, or lower legs; anemia (red blood cells do not bring enough oxygen to all parts of the body); or kidney disease.tell your doctor if you are pregnant, plan to become pregnant; or are breast-feeding. Naproxen may harm the fetus and cause problems with delivery if it is taken around 20 weeks or later during pregnancy. Do not take naproxen around or after 20 weeks of pregnancy, unless you are told to do so by your doctor. If you become pregnant while taking naproxen, call your doctor.you should know that this medication may temporarily decrease fertility in women. Talk to your doctor about the risks of taking naproxen if you have concerns about fertility.talk to your doctor about the risks and benefits of taking naproxen if you are 65 years of age or older. Older adults should usually take lower doses of naproxen for short periods of time because higher doses used regularly may not be more effective and are more likely to cause serious side effects.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking naproxen.",Naproxen,What special precautions should I follow for Naproxen ?
"Econazole is used to treat skin infections such as athlete's foot, jock itch, and ringworm.This medication is sometimes prescribed for other uses; ask your doctor or pharmacist for more information.",Econazole Topical,Why is Econazole Topical medication prescribed?
"Econazole comes as a cream to apply to the skin. Econazole is usually used once or twice a day, in the morning and evening, for 2 weeks. Some infections require up to 6 weeks of treatment. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use econazole exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor.Thoroughly clean the infected area, allow it to dry, and then gently rub the medication in until most of it disappears. Use just enough medication to cover the affected area. You should wash your hands after applying the medication.Continue to use econazole even if you feel well. Do not stop using econazole without talking to your doctor.",Econazole Topical,How should Econazole Topical medicine be used?
"Before using econazole,tell your doctor and pharmacist if you are allergic to econazole or any other drugs.tell your doctor and pharmacist what prescription and nonprescription drugs you are taking, including vitamins.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using econazole, call your doctor.",Econazole Topical,What special precautions should I follow for Econazole Topical ?
"Ophthalmic prednisolone reduces the irritation, redness, burning, and swelling of eye inflammation caused by chemicals, heat, radiation, infection, allergy, or foreign bodies in the eye. It sometimes is used after eye surgery. Prednisolone is in a class of medications called steroids. It prevents swelling and redness by changing the way the immune system works.",Prednisolone Ophthalmic,Why is Prednisolone Ophthalmic medication prescribed?
"Ophthalmic prednisolone comes as a solution (liquid) and a suspension (eye drops) to instill in the eye and as an eye ointment to apply to the eye. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use prednisolone eye drops or eye ointment exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor.Continue to use prednisolone eye drops or eye ointment even if you feel well. Do not stop using prednisolone eye drops or eye ointment without talking to your doctor.To use the eye drops, follow these instructions:Wash your hands thoroughly with soap and water.Check the label on your bottle to see if you should shake the eye drops before using. Shake the bottle well if the label says that you shouldCheck the dropper tip to make sure that it is not chipped or cracked.Avoid touching the dropper tip against your eye or anything else; eye drops and droppers must be kept clean.While tilting your head back, pull down the lower lid of your eye with your index finger to form a pocket.Hold the dropper (tip down) with the other hand, as close to the eye as possible without touching it.Brace the remaining fingers of that hand against your face.While looking up, gently squeeze the dropper so that a single drop falls into the pocket made by the lower eyelid. Remove your index finger from the lower eyelid.Close your eye for 2 to 3 minutes and tip your head down as though looking at the floor. Try not to blink or squeeze your eyelids.Place a finger on the tear duct and apply gentle pressure.Wipe any excess liquid from your face with a tissue.If you are to use more than one drop in the same eye, wait at least 5 minutes before instilling the next drop.Replace and tighten the cap on the dropper bottle. Do not wipe or rinse the dropper tip.Wash your hands to remove any medication.Toapply the eye ointment, follow these steps:Wash your hands thoroughly with soap and water.Use a mirror or have someone else apply the ointment.Avoid touching the tip of the tube against your eye or anything else. The ointment must be kept clean.Tilt your head forward slightly.Holding the tube between your thumb and index finger, place the tube as near as possible to your eyelid without touching it.Brace the remaining fingers of that hand against your cheek or nose.With the index finger of your other hand, pull the lower lid of your eye down to form a pocket.Place a small amount of ointment into the pocket made by the lower lid and the eye. A 1/2-inch (1.25-centimeter) strip of ointment usually is enough unless otherwise directed by your doctor.Gently close your eyes and keep them closed for 1 to 2 minutes to allow the medication to be absorbed.Replace and tighten the cap right away.Wipe off any excess ointment from your eyelids and lashes with a clean tissue. Wash your hands again.Your vision may be blurry for a short amount of time after using the eye ointment. Wait until you can see normally before you drive or do other activities that require good vision.",Prednisolone Ophthalmic,How should Prednisolone Ophthalmic medicine be used?
"Before using prednisolone eye drops or eye ointment,tell your doctor and pharmacist if you are allergic to prednisolone or any other drugs.tell your doctor and pharmacist what prescription and nonprescription medications you are taking, including vitamins.tell your doctor if you have or have ever had glaucoma or diabetes.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using prednisolone eye drops or eye ointment, call your doctor immediately.",Prednisolone Ophthalmic,What special precautions should I follow for Prednisolone Ophthalmic ?
"Eculizumab injection is used to treat paroxysmal nocturnal hemoglobinuria (PNH: a type of anemia in which too many red blood cells are broken down in the body, so there are not enough healthy cells to bring oxygen to all parts of the body). Eculizumab injection is also used to treat atypical hemolytic uremic syndrome (aHUS; an inherited condition in which small blood clots form in the body and may cause damage to the blood vessels, blood cells, kidneys, and other parts of the body). Eculizumab injection is also used to treat a certain form of myasthenia gravis (MG; a disorder of the nervous system that causes muscle weakness). It is also used to treat neuromyelitis optica spectrum disorder (NMOSD; an autoimmune disorder of the nervous system that affects eye nerves and the spinal cord) in certain adults. Eculizumab injection is in a group of medications called monoclonal antibodies. It works by blocking the activity of the part of the immune system that may damage blood cells in people with PNH and that causes clots to form in people with aHUS. It also works by blocking the activity of the part of the immune system that may damage certain parts of the central nervous system in people with NMOSD or by disrupting communication between nerves and muscles in people with MG.",Eculizumab Injection,Why is Eculizumab Injection medication prescribed?
"Eculizumab injection comes as a solution (liquid) to be injected intravenously (into a vein) over at least 35 minutes by a doctor or nurse in a medical office. It is usually given to adults once a week for 5 weeks and then once every other week. Children may receive eculizumab injection on a different schedule, depending on their age and body weight. Extra doses of eculizumab injection are also given before or after certain other treatments for PNH , aHUS, MG, or NMOSD.Your doctor will probably start you on a low dose of eculizumab injection and increase your dose after 4 weeks.Eculizumab injection may cause serious allergic reactions. Your doctor will watch you carefully while you are receiving eculizumab injection and for 1 hour after you receive the medication. Your doctor may slow or stop your infusion if you have an allergic reaction. If you experience any of the following symptoms, tell your doctor immediately: chest pain; feeling faint; rash; hives; swelling of the eyes, face, lips, tongue, or throat; hoarseness; or difficulty breathing or swallowing.",Eculizumab Injection,How should Eculizumab Injection medicine be used?
